DateTime|Elapsed|Duplicated|Cft|Laccid|Air|MSC_Id|Feed|BytesUp|BytesDown
2016-02-18@23:03:50.|384.0|1|22|171579408,171580688,171580431,171579408,171580688,171580431|6|CNCRCANZ41G|29|211544|2760061
2016-02-18@23:07:36.|122.0|1|16|171723279,171578896,171723280,171580431,171579408|6|CNCRCANZ41G|29|790805|19212414
2016-02-18@23:07:52.|76.0|1|16|171581711,171580431|6|CNCRCANZ11G|29|516552|19574597
2016-02-18@23:01:30.|879.0|1|19|172195850,171579145,171579144,171580432,171579158,171594248,172449544,171580432,171579144,171582223,171580431,171579151,171581711,171580431,171723280|6|CNCRCANZ51G|29|204197|11466685
2016-02-18@23:07:29.|13.0|1|16|171580431|6|CNCRCANZ31G|29|448331|19552362
2016-02-18@23:08:21.|122.0|1|16|171580431|6|CNCRCANZ31G|29|573148|19436344
2016-02-18@23:05:32.|26.0|1|22|171580431|6|CNCRCANZ31G|29|68|240
2016-02-18@23:00:44.|855.0|1|19|171579408,171591695,171579408,171580688,171579408,171580431,171580688,171579408,171580431,171579408,171580431|6|CNCRCANZ31G|29|1008850|10315175
2016-02-18@23:05:11.|24.0|1|22|171580431|6|CNCRCANZ51G|29|152341|2353313
2016-02-18@23:07:10.|376.0|1|19|171723281,171578896,171580431,171579408,171580431,171579408,171579151,171578896,171690511,171591695,171579151,171713551,171579151|6|CNCRCANZ51G|29|415530|2585238
2016-02-18@23:07:28.|516.0|1|22|171580937,171580688,171580431,171723280,171578896,171723280,171723279,171578889|6|CNCRCANZ31G|29|55909|74757
2016-02-18@23:03:53.|417.0|1|22|171582223,171580431,171723280,171579151,171535881,171580431,171578896,171723280,171578896,171723280,171723281,171723279|6|CNCRCANZ12G|29|179179|2609542
2016-02-18@23:04:01.|174.0|1|22|171580431|6|CNCRCANZ52G|29|108|0
2016-02-18@23:04:01.|174.0|1|22|171580431,171580688,171579408|6|CNCRCANZ52G|29|2803|5402
2016-02-18@23:07:53.|314.0|1|22|171580431|6|CNCRCANZ31G|29|7988|10292
2016-02-18@23:06:45.|89.0|1|22|171580431|6|CNCRCANZ31G|29|7944|46652
2016-02-18@23:08:51.|140.0|1|0|171580431|6|CNCRCANZ31G|29|22653|18344
2016-02-18@23:02:54.|712.0|0|22|171580431,171580688,171580431,171580688,171581968,171579664|6|CNCRCANZ11G|28|0|0
2016-02-18@23:02:54.|712.0|1|22|171580431|6|ARTNVANZ11G|29|0|0
2016-02-18@23:03:13.|323.0|1|22|171723281,171578896,171579151,171723280,171579408,171580431,171591695|6|CNCRCANZ31G|29|313764|6194495
2016-02-18@23:00:58.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:01:15.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:01:22.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:01:28.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:01:34.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:01:41.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:01:47.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:01:54.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:02:00.|1.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
2016-02-18@23:02:13.|0.0|1|0|171580431|6|CNCRCANZ32G|29|0|0
